iter	Logloss
0	0.6515841825
1	0.6213947344
2	0.5918339008
3	0.5628495226
4	0.5327992282
5	0.5070354116
6	0.4850146349
7	0.4648591241
8	0.4463694673
9	0.4265440775
10	0.4126055127
11	0.3962727598
12	0.3851997942
13	0.3750472477
14	0.3657080801
15	0.3549506817
16	0.3461501509
17	0.3354685429
18	0.326002699
19	0.3192111449
20	0.3111894215
21	0.3028455423
22	0.2946313903
23	0.2887636986
24	0.2816342389
25	0.2765185702
26	0.2727255744
27	0.2675172813
28	0.2633523196
29	0.2588855335
30	0.2559285629
31	0.251460042
32	0.2481824801
33	0.2448127928
34	0.2409274175
35	0.2379103547
36	0.2351220093
37	0.233273792
38	0.2306940961
39	0.228092039
40	0.2262881623
41	0.2245579917
42	0.223109814
43	0.2217399934
44	0.2197497406
45	0.2185413218
46	0.2168221848
47	0.2154392263
48	0.2142744398
49	0.2123832961
50	0.2111842858
51	0.2102250902
52	0.2085943223
53	0.2076558866
54	0.2068659221
55	0.2060181049
56	0.2052667714
57	0.204546507
58	0.2039735286
59	0.2022420739
60	0.2015670281
61	0.2004908076
62	0.1998963541
63	0.1989978652
64	0.1983414588
65	0.1971499537
66	0.1963617914
67	0.1955027331
68	0.1947343368
69	0.1941031204
70	0.1931178812
71	0.1922754823
72	0.1916354246
73	0.1913105328
74	0.190711716
75	0.1902892548
76	0.1898154988
77	0.188869153
78	0.1875660867
79	0.1871290716
80	0.1862297572
81	0.1852600619
82	0.1848507194
83	0.1843560945
84	0.1840128965
85	0.183127693
86	0.1823039259
87	0.1820095968
88	0.1814145828
89	0.18094698
90	0.1805548361
91	0.1798731123
92	0.1795741954
93	0.1792733326
94	0.1790020438
95	0.1787124063
96	0.1784114203
97	0.1780617126
98	0.1774220882
99	0.1769739463
100	0.1764468632
101	0.1757880995
102	0.175411584
103	0.1750967706
104	0.1745757788
105	0.1740381462
106	0.1737582988
107	0.1734919902
108	0.1731248942
109	0.1729446872
110	0.1727372827
111	0.1725506835
112	0.1719278395
113	0.1715671975
114	0.1712293816
115	0.1708470533
116	0.1707445124
117	0.1704225947
118	0.1701633575
119	0.1698803925
120	0.1696128386
121	0.1693654372
122	0.1691559929
123	0.1686672243
124	0.1683862221
125	0.1681535311
126	0.1679308071
