iter	Passed	Remaining
0	71	71057
1	85	42546
2	99	33063
3	113	28313
4	127	25451
5	143	23692
6	158	22545
7	179	22223
8	200	22083
9	217	21517
10	231	20827
11	245	20227
12	259	19699
13	273	19290
14	287	18896
15	302	18575
16	316	18291
17	330	18020
18	344	17789
19	358	17586
20	373	17400
21	387	17241
22	408	17359
23	439	17891
24	459	17932
25	489	18321
26	503	18130
27	517	17958
28	531	17788
29	545	17639
30	560	17523
31	578	17500
32	594	17411
33	608	17287
34	623	17177
35	637	17059
36	651	16955
37	665	16859
38	680	16771
39	695	16681
40	709	16598
41	724	16518
42	738	16425
43	752	16352
44	766	16276
45	781	16201
46	795	16122
47	808	16044
48	823	15982
49	837	15914
50	851	15847
51	865	15779
52	879	15723
53	894	15665
54	908	15610
55	922	15550
56	936	15501
57	951	15452
58	965	15395
59	979	15343
60	993	15294
61	1012	15320
62	1029	15317
63	1051	15371
64	1065	15327
65	1081	15298
66	1095	15252
67	1110	15225
68	1125	15190
69	1142	15178
70	1157	15150
71	1173	15124
72	1188	15087
73	1203	15066
74	1218	15028
75	1233	14992
76	1251	14999
77	1266	14965
78	1283	14967
79	1302	14978
80	1332	15121
81	1347	15086
82	1361	15046
83	1376	15005
84	1389	14962
85	1404	14923
86	1418	14882
87	1431	14838
88	1446	14803
89	1467	14839
90	1491	14896
91	1517	14972
92	1542	15040
93	1558	15017
94	1586	15111
95	1601	15079
96	1616	15051
97	1632	15022
98	1648	15000
99	1663	14970
100	1679	14945
101	1694	14918
102	1709	14885
103	1723	14846
104	1737	14811
105	1751	14772
106	1766	14739
107	1779	14700
108	1794	14669
109	1808	14636
110	1823	14603
111	1837	14572
112	1852	14544
113	1868	14518
114	1882	14486
115	1899	14471
116	1912	14436
117	1927	14407
118	1941	14376
119	1956	14349
120	1971	14319
121	1985	14287
122	1999	14255
123	2013	14225
124	2027	14193
125	2042	14168
126	2056	14137
127	2070	14107
128	2085	14079
129	2099	14049
130	2113	14022
131	2128	13999
132	2142	13968
133	2157	13940
134	2171	13915
135	2186	13889
136	2200	13863
137	2216	13843
138	2229	13812
139	2244	13788
140	2258	13760
141	2272	13730
142	2286	13705
143	2301	13680
144	2315	13653
145	2329	13627
146	2343	13597
147	2357	13568
148	2371	13544
149	2385	13519
150	2399	13492
151	2414	13467
152	2428	13443
153	2442	13418
154	2456	13393
155	2471	13368
156	2485	13345
157	2499	13321
158	2514	13298
159	2528	13276
160	2546	13268
161	2570	13295
162	2607	13388
163	2626	13389
164	2642	13374
165	2668	13404
166	2683	13382
167	2697	13359
168	2711	13334
169	2725	13309
170	2739	13283
171	2753	13256
172	2767	13230
173	2782	13206
174	2796	13182
175	2813	13170
176	2827	13145
177	2841	13120
178	2855	13096
179	2869	13072
180	2883	13047
181	2897	13022
182	2911	12999
183	2927	12982
184	2941	12959
185	2955	12935
186	2969	12911
187	2983	12886
188	2997	12862
189	3011	12838
190	3025	12815
191	3039	12792
192	3054	12769
193	3067	12745
194	3081	12722
195	3095	12699
196	3109	12676
197	3124	12654
198	3137	12630
199	3151	12606
200	3165	12584
201	3180	12563
202	3194	12541
203	3208	12518
204	3222	12495
205	3236	12474
206	3250	12450
207	3264	12428
208	3278	12406
209	3292	12385
210	3306	12364
211	3320	12343
212	3335	12324
213	3349	12302
214	3363	12281
215	3377	12259
216	3391	12239
217	3406	12219
218	3420	12197
219	3434	12177
220	3448	12154
221	3462	12133
222	3476	12112
223	3490	12091
224	3504	12069
225	3517	12047
226	3531	12026
227	3545	12004
228	3561	11990
229	3575	11970
230	3589	11949
231	3607	11943
232	3634	11965
233	3660	11983
234	3687	12004
235	3704	11993
236	3718	11972
237	3741	11978
238	3759	11969
239	3774	11954
240	3789	11934
241	3803	11914
242	3818	11894
243	3832	11874
244	3846	11852
245	3860	11832
246	3874	11811
